date,home_team,away_team,result,odds_home_win,odds_draw,odds_away_win,home_goals_scored_rolling,home_goals_conceded_rolling,home_shots_rolling,home_shots_on_target_rolling,home_fouls_rolling,home_corners_rolling,home_yellow_cards_rolling,home_red_cards_rolling,away_goals_scored_rolling,away_goals_conceded_rolling,away_shots_rolling,away_shots_on_target_rolling,away_fouls_rolling,away_corners_rolling,away_yellow_cards_rolling,away_red_cards_rolling,home_elo_before,away_elo_before,prob_home,prob_draw,prob_away,xG,xG.1
2021-09-19,Brighton,Leicester,2,2.7,3.2,2.75,1.25,0.75,11.25,4.0,9.25,5.75,2.0,0.0,1.0,1.5,7.25,2.5,6.75,4.75,1.0,0.25,1519.6801224387402,1499.4254635436587,0.3539111200482606,0.2986125075407199,0.34747637241101953,1.7,1.6
2021-09-19,West Ham,Man United,1,4.33,4.0,1.75,2.5,1.25,12.0,5.75,8.25,6.25,0.5,0.25,2.75,0.75,15.5,5.5,9.75,6.5,2.25,0.0,1518.3256509738933,1527.4988245355469,0.21945293518300807,0.23755780233560622,0.5429892624813857,1.6,2.0
2021-09-19,Tottenham,Chelsea,1,5.0,3.8,1.7,0.75,0.75,9.5,4.5,10.25,4.75,2.5,0.25,2.25,0.25,13.25,4.5,8.5,5.0,0.75,0.25,1517.792829825977,1528.874256370368,0.19022379269729095,0.2502944640753828,0.5594817432273262,0.5,2.1
2021-09-25,Brentford,Liverpool,0,7.0,4.5,1.45,1.0,0.4,9.4,2.4,10.2,2.4,1.8,0.2,2.4,0.2,25.0,8.6,11.6,10.4,1.0,0.0,1508.6742941750517,1537.8386403771324,0.13544369486248053,0.21069019200830302,0.6538661131292164,2.1,2.8
2021-09-25,Man United,Aston Villa,1,1.36,5.25,8.0,2.6,0.8,15.8,6.4,9.4,7.4,1.8,0.0,1.6,1.4,12.2,3.6,10.8,5.2,2.4,0.0,1537.23486070973,1501.9054473313647,0.6997667444185273,0.18127290903032325,0.11896034655114963,2.2,1.0
2021-09-25,Leicester,Burnley,0,1.57,4.0,6.0,1.0,1.6,8.6,2.6,7.4,5.6,1.0,0.2,0.6,1.8,12.8,3.6,10.0,6.0,1.8,0.0,1490.0077799498265,1462.2398089218002,0.6045340050377834,0.23727959697732998,0.15818639798488665,2.4,0.5
2021-09-25,Leeds,West Ham,1,3.0,3.6,2.25,1.0,2.4,14.0,4.4,8.8,4.8,2.2,0.2,2.2,1.4,12.2,5.4,7.6,5.4,0.4,0.2,1480.8442098864368,1508.5896147997103,0.3157894736842105,0.2631578947368421,0.42105263157894735,1.2,1.6
2021-09-25,Everton,Norwich,2,1.61,3.8,5.75,2.0,1.4,14.0,5.2,9.6,4.8,2.0,0.0,0.4,2.8,10.2,2.6,8.0,4.2,1.2,0.0,1517.5317345293274,1451.1493618949128,0.5869632375656471,0.24868705591597154,0.1643497065183812,1.9,0.5
2021-09-25,Watford,Newcastle,0,2.2,3.4,3.3,1.2,1.6,10.0,4.0,13.4,4.2,2.0,0.0,1.2,2.6,13.0,3.8,8.8,4.4,2.0,0.0,1489.4494706305065,1471.6817257467494,0.43220338983050843,0.2796610169491525,0.288135593220339,0.9,1.9
2021-09-25,Chelsea,Man City,1,2.62,3.2,2.75,2.4,0.2,14.6,5.6,9.8,6.2,0.8,0.2,2.2,0.2,20.4,5.4,8.4,9.4,1.0,0.0,1538.5554153858186,1518.6271006557301,0.3608184017384886,0.2954200664233876,0.34376153183812375,0.2,1.7
